createdAt,creatorId,id,metaDescription,subtitle,tags,title
1.54425E+12,a8634106cb64,2524c43bb922,"Giving blood in the U.S. today is like joining an elite, hyper-exclusive club. On paper, I know why gay men are not eligible to donate blood — but that won’t stop me from trying.","On paper, I know why I’m not eligible to give blood — but that won’t stop me from trying",health lgbtq equality gay memoir,What it Means to Donate Blood as a Gay Man in America
1.54851E+12,64dc0564597a,e11c38f98977,"In Venezuela, anger over economic inequality fueled the rise of a strongman. A power-hungry military acted in its own interests, undermining democratic institutions. Could that happen in the U.S.?",The institutions that should have protected the people chose power and wealth instead. Could that happen in the U.S.?,venezuela government politics economics donald-trump,What the Crisis in Venezuela Tells Us About Democracy
1.53953E+12,2879ca55026a,6052b0cc43ac,"Some people thrive on taking advantage of every chance to optimize all their personal decisions, big and small. I am not one of those people.",Efficiency is a matter of perspective,money simplicity complexity machine-learning,How to Fight Against Complexity Bias
1.53373E+12,73720195c226,daaaaff085c,"Ten years after I served in Operation Iraqi Freedom, updates on ISIS and leadership changes in Iraq are making me question everything. But trying to make sense of war is an exercise in futility.","Vonnegut had Dresden, and I had Fallujah",veterans war life iraq kurt-vonnegut,Making Sense of My Time at War
1.54949E+12,78e429aad85a,f52733f4666,,"It has the cash, and Netflix has the audience. But the idea is still rotten.",netflix apple predictions business analysis,8 Reasons Why Apple Won’t Buy Netflix
1.54947E+12,9cca1cc5944f,bc30074fb93d,,Here’s how the new smartphone tech works,tech huawei smartphones cameras android,Your Next Phone May Have a Hole in the Screen
1.54893E+12,96d8c816c5db,66771889da10,"Customers are willing to pay upwards of $1,000 for a phone — but only if they’re rewarded with the envy of their friends and co-workers. Lately, Apple’s design seems to be undermining its business.","Customers are willing to pay upwards of $1,000 for a phone — but only if they’re rewarded with just as much status",apple business psychology economics product-management,The Simple Psychology Behind Apple’s Fall
1.54889E+12,486aefe3d462,ebbcb4723c0e,"A chance meeting between a man with idle machines and a man with lots of ideas would give rise to one of the most iconic pieces of workout equipment ever invented, and to a cultural phenomenon.","The untold origin story of an iconic workout machine, told one step at a time",fitness oprah exercise history marketing,From Oil to Oprah: An Oral History of the StairMaster
1.54942E+12,b42354b051f1,b5b8c7911819,,"A small group of well-educated professionals enjoys rising wages, while most workers toil in low-wage jobs with few chances to advance",technology economics work inequality,Tech Is Splitting the U.S. Workforce in Two
1.54931E+12,7da2a328fd85,ecfca5ab7518,,"Great news! You can be a creator. Follow these steps to find your inner writer, composer, finger-painter, chef, lyricist, entrepreneur or…",creativity productivity self how-to,How to Be Creative
1.54706E+12,799bdc99a0fd,95b0bf768745,The author of the ‘Viral Nation’ series serves up confidence-building advice for writers and shares what methods have worked for her over her 25 years of writing.,Encouragement and guidance distilled from my years as an author,writing creativity productivity publishing work,25 Tips to Becoming a Writer
